sa4_code16, state_code, sa4_name16, persons_total, state_name
"101","1 ","Capital Region",225666,"New South Wales"
"102","1 ","Central Coast",339236,"New South Wales"
"103","1 ","Central West",211224,"New South Wales"
"104","1 ","Coffs Harbour - Grafton",140070,"New South Wales"
"105","1 ","Far West and Orana",116671,"New South Wales"
"106","1 ","Hunter Valley exc Newcastle",272452,"New South Wales"
"107","1 ","Illawarra",306591,"New South Wales"
"108","1 ","Mid North Coast",218256,"New South Wales"
"109","1 ","Murray",118897,"New South Wales"
"110","1 ","New England and North West",186181,"New South Wales"
"111","1 ","Newcastle and Lake Macquarie",372264,"New South Wales"
"112","1 ","Richmond - Tweed",248488,"New South Wales"
"113","1 ","Riverina",160049,"New South Wales"
"114","1 ","Southern Highlands and Shoalhaven",152510,"New South Wales"
"115","1 ","Sydney - Baulkham Hills and Hawkesbury",240876,"New South Wales"
"116","1 ","Sydney - Blacktown",360060,"New South Wales"
"117","1 ","Sydney - City and Inner South",348695,"New South Wales"
"118","1 ","Sydney - Eastern Suburbs",289483,"New South Wales"
"119","1 ","Sydney - Inner South West",610511,"New South Wales"
"120","1 ","Sydney - Inner West",313927,"New South Wales"
"121","1 ","Sydney - North Sydney and Hornsby",431008,"New South Wales"
"122","1 ","Sydney - Northern Beaches",268666,"New South Wales"
"123","1 ","Sydney - Outer South West",275946,"New South Wales"
"124","1 ","Sydney - Outer West and Blue Mountains",319008,"New South Wales"
"125","1 ","Sydney - Parramatta",480925,"New South Wales"
"126","1 ","Sydney - Ryde",194360,"New South Wales"
"127","1 ","Sydney - South West",432659,"New South Wales"
"128","1 ","Sydney - Sutherland",226995,"New South Wales"
"201","2 ","Ballarat",162362,"Victoria"
"202","2 ","Bendigo",157827,"Victoria"
"203","2 ","Geelong",294004,"Victoria"
"204","2 ","Hume",174602,"Victoria"
"205","2 ","Latrobe - Gippsland",279350,"Victoria"
"206","2 ","Melbourne - Inner",658592,"Victoria"
"207","2 ","Melbourne - Inner East",385961,"Victoria"
"208","2 ","Melbourne - Inner South",432905,"Victoria"
"209","2 ","Melbourne - North East",533213,"Victoria"
"210","2 ","Melbourne - North West",393361,"Victoria"
"211","2 ","Melbourne - Outer East",525774,"Victoria"
"212","2 ","Melbourne - South East",818212,"Victoria"
"213","2 ","Melbourne - West",791177,"Victoria"
"214","2 ","Mornington Peninsula",304586,"Victoria"
"215","2 ","North West",152094,"Victoria"
"216","2 ","Shepparton",132910,"Victoria"
"217","2 ","Warrnambool and South West",124718,"Victoria"
"301","3 ","Brisbane - East",234632,"Queensland"
"302","3 ","Brisbane - North",218521,"Queensland"
"303","3 ","Brisbane - South",363988,"Queensland"
"304","3 ","Brisbane - West",189504,"Queensland"
"305","3 ","Brisbane Inner City",273860,"Queensland"
"306","3 ","Cairns",249745,"Queensland"
"307","3 ","Darling Downs - Maranoa",128798,"Queensland"
"308","3 ","Central Queensland",225343,"Queensland"
"309","3 ","Gold Coast",606291,"Queensland"
"310","3 ","Ipswich",342529,"Queensland"
"311","3 ","Logan - Beaudesert",335102,"Queensland"
"312","3 ","Mackay - Isaac - Whitsunday",172587,"Queensland"
"313","3 ","Moreton Bay - North",247442,"Queensland"
"314","3 ","Moreton Bay - South",207879,"Queensland"
"315","3 ","Queensland - Outback",82198,"Queensland"
"316","3 ","Sunshine Coast",365839,"Queensland"
"317","3 ","Toowoomba",154843,"Queensland"
"318","3 ","Townsville",235683,"Queensland"
"319","3 ","Wide Bay",294368,"Queensland"
"401","4 ","Adelaide - Central and Hills",299889,"South Australia"
"402","4 ","Adelaide - North",434292,"South Australia"
"403","4 ","Adelaide - South",365060,"South Australia"
"404","4 ","Adelaide - West",234926,"South Australia"
"405","4 ","Barossa - Yorke - Mid North",113578,"South Australia"
"406","4 ","South Australia - Outback",85132,"South Australia"
"407","4 ","South Australia - South East",190794,"South Australia"
"501","5 ","Bunbury",181091,"Western Australia"
"502","5 ","Mandurah",100591,"Western Australia"
"503","5 ","Perth - Inner",179980,"Western Australia"
"504","5 ","Perth - North East",262350,"Western Australia"
"505","5 ","Perth - North West",561102,"Western Australia"
"506","5 ","Perth - South East",511002,"Western Australia"
"507","5 ","Perth - South West",424016,"Western Australia"
"509","5 ","Western Australia - Wheat Belt",137666,"Western Australia"
"510","5 ","Western Australia - Outback (North)",97537,"Western Australia"
"511","5 ","Western Australia - Outback (South)",120117,"Western Australia"
"601","6 ","Hobart",229088,"Tasmania"
"602","6 ","Launceston and North East",143752,"Tasmania"
"603","6 ","South East",38053,"Tasmania"
"604","6 ","West and North West",111259,"Tasmania"
"701","7 ","Darwin",148884,"Northern Territory"
"702","7 ","Northern Territory - Outback",98607,"Northern Territory"
"801","8 ","Australian Capital Territory",411667,"Australian Capital Territory"
